,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
41,0.523,0.756,2,-5.855,0,0.0326,0.409,0.376,0.173,0.597,148.442,audio_features,4Va9CPqYeBvKmxLYse2kXK,spotify:track:4Va9CPqYeBvKmxLYse2kXK,https://api.spotify.com/v1/tracks/4Va9CPqYeBvKmxLYse2kXK,https://api.spotify.com/v1/audio-analysis/4Va9CPqYeBvKmxLYse2kXK,190827,4
42,0.628,0.248,1,-13.304,1,0.032,0.814,0.0602,0.111,0.646,125.298,audio_features,5kOBEsqVNwi4udPRbagNIV,spotify:track:5kOBEsqVNwi4udPRbagNIV,https://api.spotify.com/v1/tracks/5kOBEsqVNwi4udPRbagNIV,https://api.spotify.com/v1/audio-analysis/5kOBEsqVNwi4udPRbagNIV,170217,4
43,0.486,0.391,3,-9.131,1,0.0333,0.832,5.45e-05,0.107,0.501,123.082,audio_features,77xwqK3T1aPiuyhUUYubVs,spotify:track:77xwqK3T1aPiuyhUUYubVs,https://api.spotify.com/v1/tracks/77xwqK3T1aPiuyhUUYubVs,https://api.spotify.com/v1/audio-analysis/77xwqK3T1aPiuyhUUYubVs,278317,4
44,0.274,0.13,1,-11.393,1,0.0342,0.282,3.93e-05,0.0797,0.0391,139.961,audio_features,6SHfaJ1GWWSbMNc7ekQgHp,spotify:track:6SHfaJ1GWWSbMNc7ekQgHp,https://api.spotify.com/v1/tracks/6SHfaJ1GWWSbMNc7ekQgHp,https://api.spotify.com/v1/audio-analysis/6SHfaJ1GWWSbMNc7ekQgHp,314067,4
45,0.58,0.433,2,-9.188,1,0.0292,0.445,0.00228,0.167,0.362,102.108,audio_features,7HoXQMOnJsat6T6KWKbIpi,spotify:track:7HoXQMOnJsat6T6KWKbIpi,https://api.spotify.com/v1/tracks/7HoXQMOnJsat6T6KWKbIpi,https://api.spotify.com/v1/audio-analysis/7HoXQMOnJsat6T6KWKbIpi,307013,4
46,0.517,0.286,8,-11.225,0,0.0264,0.94,0.802,0.101,0.158,94.254,audio_features,6GEXcb0buqeKWnsdsUYQ4A,spotify:track:6GEXcb0buqeKWnsdsUYQ4A,https://api.spotify.com/v1/tracks/6GEXcb0buqeKWnsdsUYQ4A,https://api.spotify.com/v1/audio-analysis/6GEXcb0buqeKWnsdsUYQ4A,323973,4
47,0.631,0.229,10,-10.984,1,0.0307,0.95,0.000189,0.107,0.437,97.349,audio_features,4Ccs64wkyyYlst3mBiJm9B,spotify:track:4Ccs64wkyyYlst3mBiJm9B,https://api.spotify.com/v1/tracks/4Ccs64wkyyYlst3mBiJm9B,https://api.spotify.com/v1/audio-analysis/4Ccs64wkyyYlst3mBiJm9B,415533,3
48,0.5,0.302,3,-13.923,1,0.0281,0.95,0.226,0.356,0.606,142.423,audio_features,1dkHo0hS9KnzlsRSbIjZzi,spotify:track:1dkHo0hS9KnzlsRSbIjZzi,https://api.spotify.com/v1/tracks/1dkHo0hS9KnzlsRSbIjZzi,https://api.spotify.com/v1/audio-analysis/1dkHo0hS9KnzlsRSbIjZzi,237387,4
49,0.717,0.237,4,-16.924,1,0.0356,0.907,0.000531,0.108,0.518,120.555,audio_features,42ydWDLH3pBm8mJ6Eg2lvE,spotify:track:42ydWDLH3pBm8mJ6Eg2lvE,https://api.spotify.com/v1/tracks/42ydWDLH3pBm8mJ6Eg2lvE,https://api.spotify.com/v1/audio-analysis/42ydWDLH3pBm8mJ6Eg2lvE,281747,3
50,0.484,0.446,9,-12.994,1,0.0332,0.567,0.591,0.0984,0.0761,133.993,audio_features,3FmRQ92fBWRDenV3mtPQEw,spotify:track:3FmRQ92fBWRDenV3mtPQEw,https://api.spotify.com/v1/tracks/3FmRQ92fBWRDenV3mtPQEw,https://api.spotify.com/v1/audio-analysis/3FmRQ92fBWRDenV3mtPQEw,426787,4
51,0.696,0.269,5,-16.422,0,0.0329,0.951,0.0262,0.11,0.781,127.798,audio_features,0oEyXbHhtUBqKdKHewG8Cn,spotify:track:0oEyXbHhtUBqKdKHewG8Cn,https://api.spotify.com/v1/tracks/0oEyXbHhtUBqKdKHewG8Cn,https://api.spotify.com/v1/audio-analysis/0oEyXbHhtUBqKdKHewG8Cn,152480,4
52,0.463,0.179,0,-14.852,0,0.0402,0.917,1.73e-05,0.12,0.183,80.747,audio_features,6EB1urn3bHjTXjkT9twKxZ,spotify:track:6EB1urn3bHjTXjkT9twKxZ,https://api.spotify.com/v1/tracks/6EB1urn3bHjTXjkT9twKxZ,https://api.spotify.com/v1/audio-analysis/6EB1urn3bHjTXjkT9twKxZ,199920,4
53,0.496,0.555,7,-6.363,1,0.028,0.379,0.279,0.112,0.341,74.306,audio_features,3I1vR204axOX2250ie1gt3,spotify:track:3I1vR204axOX2250ie1gt3,https://api.spotify.com/v1/tracks/3I1vR204axOX2250ie1gt3,https://api.spotify.com/v1/audio-analysis/3I1vR204axOX2250ie1gt3,200853,4
54,0.554,0.15,3,-16.746,1,0.0338,0.974,0.735,0.0698,0.314,87.956,audio_features,11X4Gw3T4hoktVruLgTnm1,spotify:track:11X4Gw3T4hoktVruLgTnm1,https://api.spotify.com/v1/tracks/11X4Gw3T4hoktVruLgTnm1,https://api.spotify.com/v1/audio-analysis/11X4Gw3T4hoktVruLgTnm1,160240,4
55,0.506,0.259,4,-13.341,1,0.0295,0.906,0.656,0.114,0.194,152.079,audio_features,2ym2VjHnSRC0VkuyIkrmdt,spotify:track:2ym2VjHnSRC0VkuyIkrmdt,https://api.spotify.com/v1/tracks/2ym2VjHnSRC0VkuyIkrmdt,https://api.spotify.com/v1/audio-analysis/2ym2VjHnSRC0VkuyIkrmdt,282867,4
